ZONE T="boundary0"
-4 -0.338972 
-4 -0.379317 
-4 0.218045 
-4 0.164348 
-4 0.291673 
-4 -0.146167 
-4 -0.203356 
-4 -0.250991 
-4 -0.0889788 
-4 0.361842 
-4 0.455077 
-4 0.661234 
-4 0.774156 
-4 -0.298626 
-4 -0.274809 
-4 0.122614 
-4 0.0808795 
-4 -0.00404967 
-4 -0.480562 
-4 -0.42994 
-4 0.548311 
-4 -0.559031 
-4 -0.637499 
-4 -0.81875 
-4 -1 
-4 1 
-4 -0.359144 
-4 0.191196 
-4 0.254859 
-4 -0.174761 
-4 -0.227173 
-4 -0.117573 
-4 0.40846 
-4 -0.286718 
-4 -0.2629 
-4 -0.0465143 
-4 -0.455251 
-4 0.0384149 
-4 0.326758 
-4 0.501694 
-4 -0.519797 
-4 -0.598265 
-4 -0.728124 
-4 -0.404628 
-4 -0.909375 
-4 0.717695 
-4 -0.318799 
-4 0.887078 
-4 0.604772 
-4 0.101747 
-4 0.143481 
ZONE T="boundary1"
1.51259 1 
3.85763 1 
3.71526 1 
-0.130975 1 
0.251228 1 
-0.461205 1 
-0.556922 1 
0.557035 1 
-0.948881 1 
-1.03399 1 
0.170916 1 
-0.722833 1 
-0.639878 1 
0.393172 1 
1.0362 1 
2.58174 1 
2.75824 1 
4 1 
3.27089 1 
-1.38416 1 
0.792931 1 
3.49307 1 
-3.4435 1 
3.10282 1 
1.81564 1 
-2.75363 1 
2.38726 1 
-3.258 1 
-3.00581 1 
0.0170273 1 
-0.0565493 1 
-0.2054 1 
0.090604 1 
0.475104 1 
-0.285444 1 
-0.365489 1 
-0.863771 1 
0.674983 1 
0.914564 1 
-3.1319 1 
-3.629 1 
-1.26187 1 
-1.50645 1 
-1.14793 1 
-1.75757 1 
-1.98032 1 
-2.20306 1 
-3.8145 1 
-4 1 
1.1519 1 
1.26761 1 
-2.47834 1 
2.19278 1 
2.93475 1 
1.3901 1 
2.00421 1 
3.78645 1 
-0.509063 1 
-0.991437 1 
-0.681355 1 
2.66999 1 
3.60417 1 
3.18685 1 
2.4845 1 
-3.35075 1 
-0.0937619 1 
-0.019761 1 
0.3222 1 
0.13076 1 
0.434138 1 
-0.325467 1 
0.516069 1 
-0.793302 1 
-0.906326 1 
-0.5984 1 
0.616009 1 
0.853747 1 
-3.19495 1 
-1.4453 1 
-1.2049 1 
-1.32302 1 
-1.63201 1 
-1.86894 1 
-3.90725 1 
1.09405 1 
-2.09169 1 
-2.3407 1 
2.8465 1 
1.45134 1 
1.66411 1 
1.90993 1 
-2.61598 1 
3.01878 1 
-3.06886 1 
-2.87972 1 
3.92882 1 
2.0985 1 
-0.245422 1 
0.0538157 1 
0.211072 1 
-0.413347 1 
-0.168187 1 
-1.09096 1 
0.733957 1 
0.975381 1 
1.32886 1 
3.38198 1 
-3.72175 1 
1.20976 1 
2.29002 1 
