ZONE T="boundary0"
-4 -0.210462 
-4 -0.391925 
-4 -0.33431 
-4 -0.25412 
-4 0.282717 
-4 0.517712 
-4 0.400214 
-4 0.244363 
-4 0.20601 
-4 0.638284 
-4 0.341466 
-4 -0.166804 
-4 -0.0732948 
-4 -0.814445 
-4 -1 
-4 0.758856 
-4 -0.443151 
-4 -0.494377 
-4 -0.628889 
-4 -0.561633 
-4 -0.721667 
-4 1 
-4 0.113112 
-4 0.020214 
-4 -0.294215 
-4 0.458963 
-4 0.225187 
-4 0.577998 
-4 0.312091 
-4 -0.120049 
-4 -0.907222 
-4 0.69857 
-4 -0.363117 
-4 -0.468764 
-4 -0.595261 
-4 0.26354 
-4 0.37084 
-4 -0.417538 
-4 0.879428 
-4 0.0666629 
-4 0.159561 
-4 -0.232291 
-4 -0.188633 
-4 -0.0265404 
-4 -0.528005 
-4 -0.768056 
-4 -0.675278 
ZONE T="boundary1"
-3.3576 1 
1.17762 1 
4 1 
3.72905 1 
-1.44511 1 
-0.723342 1 
-0.0760401 1 
-0.528914 1 
-0.432618 1 
0.128674 1 
0.0600432 1 
-1.22376 1 
-3.5182 1 
-3.8394 1 
-1.01718 1 
1.39499 1 
1.29667 1 
-1.33444 1 
2.1894 1 
-2.92694 1 
1.72387 1 
1.95442 1 
-2.61861 1 
3.00355 1 
3.23083 1 
2.71396 1 
2.56917 1 
2.42437 1 
-0.143493 1 
-0.00858701 1 
-0.274055 1 
-0.208774 1 
0.258079 1 
0.193376 1 
0.333068 1 
-0.353336 1 
0.589843 1 
0.696258 1 
0.408057 1 
-0.62521 1 
-0.821474 1 
0.49895 1 
-0.919327 1 
-1.12047 1 
-4 1 
-1.58472 1 
-1.72433 1 
-3.6788 1 
-1.91179 1 
3.59357 1 
3.4581 1 
-2.09924 1 
1.05857 1 
0.802673 1 
0.930623 1 
-3.14227 1 
1.49331 1 
-2.20476 1 
-2.31027 1 
-2.46444 1 
3.86452 1 
-0.480766 1 
0.0943584 1 
1.34583 1 
1.83914 1 
2.85876 1 
-0.109767 1 
-0.0423135 1 
-0.241414 1 
0.225728 1 
0.295573 1 
0.0257281 1 
-0.313696 1 
0.64305 1 
-0.577062 1 
0.544396 1 
-0.674276 1 
-0.772408 1 
-0.968253 1 
-1.06882 1 
0.453503 1 
-0.870401 1 
-1.17211 1 
-1.2791 1 
-1.51492 1 
-1.38977 1 
-1.65452 1 
-3.7591 1 
-1.81806 1 
3.52584 1 
-2.00551 1 
-3.9197 1 
1.1181 1 
1.23715 1 
0.866648 1 
3.11719 1 
-3.0346 1 
-3.5985 1 
-2.77277 1 
2.30689 1 
2.07191 1 
3.34446 1 
-2.25752 1 
-2.152 1 
-2.54152 1 
-2.38736 1 
1.60859 1 
2.49677 1 
2.64157 1 
-3.24993 1 
-0.392977 1 
-0.176134 1 
0.370562 1 
0.161025 1 
0.749465 1 
3.66131 1 
0.994599 1 
1.44415 1 
-3.4379 1 
ZONE T="boundary2"
4 -0.575045 
4 -0.787522 
4 -0.40716 
4 0.0149096 
4 -0.187077 
4 -0.158189 
4 0.257628 
4 0.561822 
4 1 
4 0.373094 
4 0.198167 
4 0.317088 
4 0.780911 
4 0.4291 
4 0.106538 
4 -0.0716394 
4 -0.491102 
4 -0.244853 
4 -0.215965 
4 -0.34045 
4 -0.273741 
4 -1 
4 -0.114914 
4 -0.307096 
4 -0.681284 
4 -0.172633 
4 0.227897 
4 0.890455 
4 0.287358 
4 0.345091 
4 0.152353 
4 0.060724 
4 -0.0283649 
4 -0.230409 
4 -0.373805 
4 -0.533074 
4 0.495461 
4 -0.449131 
4 -0.893761 
4 -0.0932767 
4 -0.323773 
4 -0.290418 
4 -0.201521 
4 -0.259297 
4 0.401097 
4 0.671366 
4 -0.136551 
ZONE T="boundary3"
-3.86714 -1 
-3.73427 -1 
-1.91667 -1 
-1.75713 -1 
-1.26521 -1 
0.27143 -1 
-0.255284 -1 
-0.180591 -1 
-4 -1 
0.515277 -1 
0.420278 -1 
3.77098 -1 
1.04214 -1 
1.15716 -1 
1.60311 -1 
1.28045 -1 
-1.03439 -1 
-3.60141 -1 
-1.59759 -1 
3.12038 -1 
3.33117 -1 
2.97527 -1 
2.02012 -1 
-2.96504 -1 
-3.21679 -1 
2.83016 -1 
-2.74348 -1 
-2.52193 -1 
-0.441776 -1 
-0.34853 -1 
-0.556635 -1 
-0.671494 -1 
0.345854 -1 
0.610277 -1 
-0.105898 -1 
0.0243145 -1 
-0.0407916 -1 
0.209887 -1 
0.0863294 -1 
0.148344 -1 
0.766509 -1 
3.54197 -1 
1.40374 -1 
0.927121 -1 
-0.916983 -1 
-0.855611 -1 
-1.1518 -1 
-1.37862 -1 
-1.48811 -1 
-0.794238 -1 
1.50343 -1 
1.8118 -1 
-3.46855 -1 
-2.35306 -1 
-2.18419 -1 
2.22843 -1 
2.53995 -1 
4 -1 
-2.05043 -1 
-3.80071 -1 
-1.8369 -1 
-0.217937 -1 
-3.93357 -1 
0.467777 -1 
1.09965 -1 
3.22577 -1 
3.04782 -1 
-3.09092 -1 
-2.6327 -1 
-0.395153 -1 
-0.614064 -1 
0.383066 -1 
0.562777 -1 
-0.143244 -1 
0.308642 -1 
-0.0733446 -1 
0.240658 -1 
0.0553219 -1 
0.117337 -1 
0.688393 -1 
-0.499205 -1 
1.34209 -1 
0.98463 -1 
-0.886297 -1 
-1.09309 -1 
-1.2085 -1 
-1.32192 -1 
-1.43336 -1 
1.45358 -1 
1.55327 -1 
1.70746 -1 
1.91596 -1 
0.846815 -1 
-3.34267 -1 
-2.26862 -1 
2.12428 -1 
-2.85426 -1 
-1.67736 -1 
2.38419 -1 
3.43657 -1 
3.65647 -1 
3.88549 -1 
-2.43749 -1 
-3.53498 -1 
-3.66784 -1 
-0.00823858 -1 
0.179116 -1 
-0.732866 -1 
-0.824925 -1 
-0.975687 -1 
-0.301907 -1 
1.2188 -1 
2.90271 -1 
-1.54285 -1 
-1.98355 -1 
2.68505 -1 
-2.11731 -1 
ZONE T="boundary4"
-0.165471 0.441742 
-0.139811 0.446117 
-0.300945 0.405295 
-0.427729 0.343903 
-0.642563 0.0310674 
-0.639899 0.0487279 
-0.644332 0.0133571 
-0.636345 0.0662975 
-0.631933 0.0836527 
-0.645203 -0.00431459 
0.658429 0.0346224 
0.660767 0.00887752 
-0.626693 0.100744 
-0.614966 0.131457 
-0.621009 0.116618 
-0.566156 0.215843 
-0.585024 0.188122 
0.522767 0.275291 
0.637054 0.110484 
0.566481 0.225088 
0.552836 0.241941 
-0.473937 0.311363 
-0.459009 0.322676 
-0.601162 0.16023 
-0.500529 0.288914 
-0.523659 0.266458 
-0.443693 0.333458 
-0.37697 0.372565 
-0.358719 0.381422 
-0.394347 0.363461 
-0.340211 0.389724 
-0.32069 0.397795 
-0.28001 0.412569 
-0.189686 0.436934 
-0.258879 0.419249 
-0.0869103 0.452914 
-0.114044 0.449793 
-0.41143 0.353814 
-0.213762 0.431467 
0.538648 0.258341 
0.660604 -0.0168083 
-0.0597021 0.455291 
0.385742 0.375764 
0.29932 0.412876 
0.328727 0.401877 
0.592653 0.189592 
0.357626 0.389492 
0.579845 0.207542 
0.487417 0.308106 
0.506148 0.291501 
0.463798 0.326882 
0.438744 0.344556 
0.0864158 0.45542 
0.116604 0.452728 
0.0561572 0.457157 
0.0266788 0.457951 
0.147291 0.448968 
0.177832 0.444153 
0.624217 0.137644 
0.616222 0.15227 
0.646475 0.0854976 
0.631606 0.122708 
0.660998 -0.00397872 
0.656316 0.0475381 
0.60487 0.171108 
0.653606 0.0603238 
-0.236404 0.425669 
0.412629 0.360884 
-0.0312747 0.456983 
-0.00281042 0.457874 
0.208551 0.438163 
0.26935 0.422584 
0.23902 0.431006 
-0.545497 0.242147 
-0.152656 0.444017 
-0.641342 0.0399144 
-0.643559 0.0222234 
-0.638231 0.0575348 
0.659907 0.021778 
-0.629415 0.0922297 
-0.618065 0.124069 
-0.644878 0.00452676 
-0.623939 0.108712 
-0.575837 0.20215 
